name,Short_Question_Text,value
09009140100,Dental Visit,0.778
09009140200,Dental Visit,0.466
09009140300,Dental Visit,0.49200000000000005
09009140400,Dental Visit,0.575
09009140500,Dental Visit,0.45799999999999996
09009140600,Dental Visit,0.496
09009140700,Dental Visit,0.5760000000000001
09009140800,Dental Visit,0.539
09009140900,Dental Visit,0.615
09009141000,Dental Visit,0.807
09009141100,Dental Visit,0.7979999999999999
09009141200,Dental Visit,0.654
09009141300,Dental Visit,0.669
09009141400,Dental Visit,0.62
09009141500,Dental Visit,0.542
09009141600,Dental Visit,0.569
09009141800,Dental Visit,0.777
09009141900,Dental Visit,0.8420000000000001
09009142000,Dental Visit,0.789
09009142100,Dental Visit,0.555
09009142200,Dental Visit,0.8009999999999999
09009142300,Dental Visit,0.542
09009142400,Dental Visit,0.512
09009142500,Dental Visit,0.5579999999999999
09009142601,Dental Visit,0.617
09009142603,Dental Visit,0.6559999999999999
09009142604,Dental Visit,0.69
09009142700,Dental Visit,0.647
09009142800,Dental Visit,0.809
09009361401,Dental Visit,0.71
09009361402,Dental Visit,0.732
