year,name,occupied,owned,rate
1970,amity,1991,902,0.4530386740331492
1980,amity,1826,866,0.47426067907995617
1990,amity,1767,877,0.49632144878324846
2000,amity,1730,787,0.4549132947976879
2010,amity,1737,761,0.43811168681635004
1970,annex,1819,824,0.45299615173172075
1980,annex,1924,821,0.4267151767151767
1990,annex,2129,926,0.4349459840300611
2000,annex,2146,819,0.38164026095060577
2010,annex,2456,903,0.36767100977198697
1970,beaver_hills,1809,863,0.47705914870093974
1980,beaver_hills,1792,852,0.47544642857142855
1990,beaver_hills,1836,833,0.4537037037037037
2000,beaver_hills,1814,816,0.4498346196251378
2010,beaver_hills,1763,758,0.4299489506522972
1970,dixwell,2320,407,0.17543103448275862
1980,dixwell,2329,270,0.115929583512237
1990,dixwell,2173,400,0.18407731247123793
2000,dixwell,1537,306,0.19908913467794404
2010,dixwell,1785,397,0.22240896358543416
1970,downtown,2581,281,0.10887253002712127
1980,downtown,2132,228,0.10694183864915573
1990,downtown,2400,258,0.1075
2000,downtown,2962,208,0.07022282241728561
2010,downtown,3986,331,0.08304064224786753
1970,dwight,2604,200,0.07680491551459294
1980,dwight,2376,145,0.06102693602693603
1990,dwight,2357,212,0.08994484514212983
2000,dwight,2409,192,0.07970112079701121
2010,dwight,1875,156,0.0832
1970,east_rock,4006,1104,0.27558662006989515
1980,east_rock,3945,1046,0.26514575411913816
1990,east_rock,4006,1039,0.25936095856215674
2000,east_rock,4101,916,0.2233601560594977
2010,east_rock,4111,975,0.2371685721235709
1970,east_shore,1872,1453,0.7761752136752137
1980,east_shore,1921,1518,0.7902134305049453
1990,east_shore,2017,1580,0.7833415964303421
2000,east_shore,1973,1527,0.7739483020780538
2010,east_shore,2025,1583,0.7817283950617284
1970,edgewood,1935,494,0.255297157622739
1980,edgewood,2009,483,0.24041811846689895
1990,edgewood,1923,387,0.20124804992199688
2000,edgewood,1881,384,0.20414673046251994
2010,edgewood,1812,333,0.1837748344370861
1970,fair_haven,5020,1487,0.2962151394422311
1980,fair_haven,4698,1482,0.31545338441890164
1990,fair_haven,5168,1544,0.29876160990712075
2000,fair_haven,4722,1187,0.25137653536637017
2010,fair_haven,5142,1291,0.2510696227148969
1970,fair_haven_heights,1496,793,0.5300802139037433
1980,fair_haven_heights,2642,899,0.34027252081756243
1990,fair_haven_heights,2954,752,0.25457007447528773
2000,fair_haven_heights,2906,761,0.26187198898830005
2010,fair_haven_heights,3229,911,0.28213069061628987
1970,hill,6446,1709,0.26512565932361154
1980,hill,5493,1334,0.2428545421445476
1990,hill,5870,1484,0.25281090289608177
2000,hill,5059,1276,0.25222375963629173
2010,hill,5072,1161,0.22890378548895898
1970,newhallville,2854,945,0.331114225648213
1980,newhallville,2619,915,0.34936998854524626
1990,newhallville,2694,1016,0.3771343726800297
2000,newhallville,2439,826,0.33866338663386636
2010,newhallville,2411,715,0.2965574450435504
1970,prospect_hill,1608,353,0.21952736318407962
1980,prospect_hill,1689,412,0.24393132030787448
1990,prospect_hill,1697,487,0.2869770182675309
2000,prospect_hill,1720,461,0.2680232558139535
2010,prospect_hill,1600,470,0.29375
1970,quinnipiac_meadows,1076,571,0.5306691449814126
1980,quinnipiac_meadows,1900,646,0.34
1990,quinnipiac_meadows,1895,978,0.5160949868073879
2000,quinnipiac_meadows,2103,856,0.4070375653827865
2010,quinnipiac_meadows,2284,1038,0.45446584938704027
1970,west_river,1481,317,0.21404456448345713
1980,west_river,1495,330,0.22073578595317725
1990,west_river,1623,363,0.22365988909426987
2000,west_river,1402,290,0.20684736091298145
2010,west_river,1424,294,0.20646067415730338
1970,west_rock,1532,202,0.13185378590078328
1980,west_rock,1623,225,0.13863216266173753
1990,west_rock,1868,331,0.1771948608137045
2000,west_rock,1737,274,0.1577432354634427
2010,west_rock,1741,277,0.15910396323951753
1970,westville,2634,1647,0.6252847380410023
1980,westville,2795,1660,0.59391771019678
1990,westville,2931,1821,0.6212896622313203
2000,westville,2774,1691,0.6095890410958904
2010,westville,2800,1679,0.5996428571428571
1970,wooster_square,1579,286,0.1811272957568081
1980,wooster_square,1496,258,0.17245989304812834
1990,wooster_square,1492,346,0.23190348525469168
2000,wooster_square,1482,308,0.2078272604588394
2010,wooster_square,1624,387,0.23830049261083744
