name,indicator,type,value
Y2010-11,gateway graduates by residency,New Haven,134
Y2010-11,gateway graduates by residency,Other towns,526
Y2011-12,gateway graduates by residency,New Haven,152
Y2011-12,gateway graduates by residency,Other towns,588
Y2012-13,gateway graduates by residency,New Haven,131
Y2012-13,gateway graduates by residency,Other towns,611
Y2013-14,gateway graduates by residency,New Haven,122
Y2013-14,gateway graduates by residency,Other towns,656
Y2014-15,gateway graduates by residency,New Haven,151
Y2014-15,gateway graduates by residency,Other towns,654
Y2015-16,gateway graduates by residency,New Haven,184
Y2015-16,gateway graduates by residency,Other towns,684
